"Mois/Année","Jour","Groupe de produits","Produit","Prix TVA incl."
"APR25","14APR25","Pétrole lampant","Petrole lampant type C (à partir de 2000 l) (€/L)",0.807
"APR25","14APR25","Pétrole lampant","Petrole lampant type C (à la pompe) (€/L)",0.96
"APR25","14APR25","Propane","Propane en vrac (à partir de 2000 l) (€/L)",0.704
"APR25","14APR25","Propane","Propane en vrac (moins de 2000 l) (€/L)",0.793
"APR25","14APR25","Butane + LPG","Autogas LPG (à la pompe) (€/L)",0.756
"APR25","14APR25","Butane + LPG","Autogas LPG (moins de 2000 l) (€/L)",0.799
"APR25","14APR25","Butane + LPG","Autogas LPG (à partir de 2000 l) (€/L)",0.71
"APR25","14APR25","Fuel Oil","Fuel oil extra lourd 1% S (en camion citerne) (€/T)",
"APR25","15APR25","Essences","Essence 95 RON E5 (€/L)",1.622
"APR25","15APR25","Essences","Essence 95 RON E10 (€/L)",1.616
"APR25","15APR25","Essences","Essence 98 RON E5 (€/L)",1.683
"APR25","15APR25","Essences","Essence 98 RON E10 (€/L)",1.688
"APR25","15APR25","Gasoil Diesel routier","Diesel B7 (€/L)",1.663
"APR25","15APR25","Gasoil Diesel routier","Diesel B10 (€/L)",1.661
"APR25","15APR25","Gasoil Diesel routier","Diesel B20 (€/L)",1.686
"APR25","15APR25","Gasoil Diesel routier","Diesel B30 (€/L)",1.756
"APR25","15APR25","Gasoil Diesel routier","Diesel XTL (€/L)",2.511
"APR25","15APR25","Gasoil Diesel (application chauffage)","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.713
"APR25","15APR25","Gasoil Diesel (application chauffage)","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.753
"APR25","15APR25","Gasoil Diesel (application agriculture)","Gasoil Diesel Agriculture (à partir de 2000 l) (€/L)",0.691
"APR25","15APR25","Gasoil Diesel (application agriculture)","Gasoil Diesel Agriculture (moins de 2000 l) (€/L)",0.73
"APR25","15APR25","Gasoil Diesel (application I&C)","Gasoil Diesel I&C (à partir de 2000 l) (€/L)",0.718
"APR25","15APR25","Gasoil Diesel (application I&C)","Gasoil Diesel I&C (moins de 2000 l) (€/L)",0.758
"APR25","15APR25","Gasoil Diesel (application I&C)","Gasoil Diesel I&C (à la pompe) (€/L)",0.868
"APR25","15APR25","Gasoil de chauffage","Gasoil chauffage (H0/H7) (à partir de 2000 l) (€/L)",0.713
"APR25","15APR25","Gasoil de chauffage","Gasoil chauffage (H0/H7) (moins de 2000 l) (€/L)",0.753
"APR25","15APR25","Gasoil de chauffage","Gasoil chauffage (H0/H7) (à la pompe) (€/L)",0.87
"APR25","15APR25","Pétrole lampant","Petrole lampant type B (moins de 2000 l) (€/L)",0.819
"APR25","15APR25","Pétrole lampant","Petrole lampant type B (à partir de 2000 l) (€/L)",0.779
"APR25","15APR25","Pétrole lampant","Petrole lampant type B (à la pompe) (€/L)",0.932
"APR25","15APR25","Pétrole lampant","Petrole lampant type C (moins de 2000 l) (€/L)",0.847
"APR25","15APR25","Pétrole lampant","Petrole lampant type C (à partir de 2000 l) (€/L)",0.807
"APR25","15APR25","Pétrole lampant","Petrole lampant type C (à la pompe) (€/L)",0.96
"APR25","15APR25","Propane","Propane en vrac (à partir de 2000 l) (€/L)",0.662
"APR25","15APR25","Propane","Propane en vrac (moins de 2000 l) (€/L)",0.751
"APR25","15APR25","Butane + LPG","Autogas LPG (à la pompe) (€/L)",0.722
"APR25","15APR25","Butane + LPG","Autogas LPG (moins de 2000 l) (€/L)",0.764
"APR25","15APR25","Butane + LPG","Autogas LPG (à partir de 2000 l) (€/L)",0.675
"APR25","15APR25","Fuel Oil","Fuel oil extra lourd 1% S (en camion citerne) (€/T)",
"APR25","16APR25","Essences","Essence 95 RON E5 (€/L)",1.622
"APR25","16APR25","Essences","Essence 95 RON E10 (€/L)",1.616
"APR25","16APR25","Essences","Essence 98 RON E5 (€/L)",1.683
"APR25","16APR25","Essences","Essence 98 RON E10 (€/L)",1.688
"APR25","16APR25","Gasoil Diesel routier","Diesel B7 (€/L)",1.663
"APR25","16APR25","Gasoil Diesel routier","Diesel B10 (€/L)",1.661
"APR25","16APR25","Gasoil Diesel routier","Diesel B20 (€/L)",1.686
"APR25","16APR25","Gasoil Diesel routier","Diesel B30 (€/L)",1.756
"APR25","16APR25","Gasoil Diesel routier","Diesel XTL (€/L)",2.511
"APR25","16APR25","Gasoil Diesel (application chauffage)","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.725
"APR25","16APR25","Gasoil Diesel (application chauffage)","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.765
"APR25","16APR25","Gasoil Diesel (application agriculture)","Gasoil Diesel Agriculture (à partir de 2000 l) (€/L)",0.702
"APR25","16APR25","Gasoil Diesel (application agriculture)","Gasoil Diesel Agriculture (moins de 2000 l) (€/L)",0.742
"APR25","16APR25","Gasoil Diesel (application I&C)","Gasoil Diesel I&C (à partir de 2000 l) (€/L)",0.73
"APR25","16APR25","Gasoil Diesel (application I&C)","Gasoil Diesel I&C (moins de 2000 l) (€/L)",0.77
"APR25","16APR25","Gasoil Diesel (application I&C)","Gasoil Diesel I&C (à la pompe) (€/L)",0.88
"APR25","16APR25","Gasoil de chauffage","Gasoil chauffage (H0/H7) (à partir de 2000 l) (€/L)",0.725
"APR25","16APR25","Gasoil de chauffage","Gasoil chauffage (H0/H7) (moins de 2000 l) (€/L)",0.765
"APR25","16APR25","Gasoil de chauffage","Gasoil chauffage (H0/H7) (à la pompe) (€/L)",0.882
"APR25","16APR25","Pétrole lampant","Petrole lampant type B (moins de 2000 l) (€/L)",0.833
"APR25","16APR25","Pétrole lampant","Petrole lampant type B (à partir de 2000 l) (€/L)",0.794
"APR25","16APR25","Pétrole lampant","Petrole lampant type B (à la pompe) (€/L)",0.946
"APR25","16APR25","Pétrole lampant","Petrole lampant type C (moins de 2000 l) (€/L)",0.862
"APR25","16APR25","Pétrole lampant","Petrole lampant type C (à partir de 2000 l) (€/L)",0.822
"APR25","16APR25","Pétrole lampant","Petrole lampant type C (à la pompe) (€/L)",0.975
"APR25","16APR25","Propane","Propane en vrac (à partir de 2000 l) (€/L)",0.662
"APR25","16APR25","Propane","Propane en vrac (moins de 2000 l) (€/L)",0.751
"APR25","16APR25","Butane + LPG","Autogas LPG (à la pompe) (€/L)",0.722
"APR25","16APR25","Butane + LPG","Autogas LPG (moins de 2000 l) (€/L)",0.764
"APR25","16APR25","Butane + LPG","Autogas LPG (à partir de 2000 l) (€/L)",0.675
"APR25","16APR25","Fuel Oil","Fuel oil extra lourd 1% S (en camion citerne) (€/T)",
"APR25","17APR25","Essences","Essence 95 RON E5 (€/L)",1.61
"APR25","17APR25","Essences","Essence 95 RON E10 (€/L)",1.604
"APR25","17APR25","Essences","Essence 98 RON E5 (€/L)",1.675
"APR25","17APR25","Essences","Essence 98 RON E10 (€/L)",1.68
"APR25","17APR25","Gasoil Diesel routier","Diesel B7 (€/L)",1.663
"APR25","17APR25","Gasoil Diesel routier","Diesel B10 (€/L)",1.661
"APR25","17APR25","Gasoil Diesel routier","Diesel B20 (€/L)",1.686
"APR25","17APR25","Gasoil Diesel routier","Diesel B30 (€/L)",1.756
"APR25","17APR25","Gasoil Diesel routier","Diesel XTL (€/L)",2.511
"APR25","17APR25","Gasoil Diesel (application chauffage)","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.726
"APR25","17APR25","Gasoil Diesel (application chauffage)","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.766
"APR25","17APR25","Gasoil Diesel (application agriculture)","Gasoil Diesel Agriculture (à partir de 2000 l) (€/L)",0.703
"APR25","17APR25","Gasoil Diesel (application agriculture)","Gasoil Diesel Agriculture (moins de 2000 l) (€/L)",0.743
"APR25","17APR25","Gasoil Diesel (application I&C)","Gasoil Diesel I&C (à partir de 2000 l) (€/L)",0.731
"APR25","17APR25","Gasoil Diesel (application I&C)","Gasoil Diesel I&C (moins de 2000 l) (€/L)",0.771
"APR25","17APR25","Gasoil Diesel (application I&C)","Gasoil Diesel I&C (à la pompe) (€/L)",0.881
"APR25","17APR25","Gasoil de chauffage","Gasoil chauffage (H0/H7) (à partir de 2000 l) (€/L)",0.726
"APR25","17APR25","Gasoil de chauffage","Gasoil chauffage (H0/H7) (moins de 2000 l) (€/L)",0.766
"APR25","17APR25","Gasoil de chauffage","Gasoil chauffage (H0/H7) (à la pompe) (€/L)",0.883
"APR25","17APR25","Pétrole lampant","Petrole lampant type B (moins de 2000 l) (€/L)",0.833
"APR25","17APR25","Pétrole lampant","Petrole lampant type B (à partir de 2000 l) (€/L)",0.794
"APR25","17APR25","Pétrole lampant","Petrole lampant type B (à la pompe) (€/L)",0.946
"APR25","17APR25","Pétrole lampant","Petrole lampant type C (moins de 2000 l) (€/L)",0.862
"APR25","17APR25","Pétrole lampant","Petrole lampant type C (à partir de 2000 l) (€/L)",0.822
"APR25","17APR25","Pétrole lampant","Petrole lampant type C (à la pompe) (€/L)",0.975
"APR25","17APR25","Propane","Propane en vrac (à partir de 2000 l) (€/L)",0.662
"APR25","17APR25","Propane","Propane en vrac (moins de 2000 l) (€/L)",0.751
